<table class="error" cellpadding="5"><tr><td><p><b>SQL error:</b><br /><pre class="error">ERROR:  cannot use serializable mode in a hot standby
HINT:  You can use REPEATABLE READ instead.</pre></p>
		      <p><b>In statement:</b><br />SET TRANSACTION ISOLATION LEVEL SERIALIZABLE</p>
		</td></tr></table><br />
"device_info_serial","date_time","latitude","longitude","altitude","pressure","temperature","satellites_used","gps_fixtime","positiondop","h_accuracy","v_accuracy","x_speed","y_speed","z_speed","speed_accuracy","location","userflag","speed_3d","speed_2d","direction","altitude_agl"
"2004","2013-05-25 08:55:22","52.9230053","5.4276747","-7","\N","20.6","\N","19","3.9","30.2","36.6","-0.72","-1.01","-0.5","2","0101000020E6100000734E475BF0B5154070C4A40925764A40","0","1.337348122218","0.999406769571647","-69.7057516047713","-4"
"2004","2013-05-25 10:59:02","52.9224234","5.4350748","-1","\N","18.5","\N","159.2","2.3","9","7.5","4.8","3.32","-3.9","0.63","0101000020E61000004541953F84BD1540560850F811764A40","0","7.01943017630349","7.01931031907204","156.040934677893","2"
"2004","2013-05-25 11:59:39","52.9444103","5.4975493","0","\N","20.5","\N","37.2","2.9","17.6","17.6","-1.15","-0.04","-0.11","1.09","0101000020E61000003D974E907DFD1540B640CC6FE2784A40","0","1.15594117497388","0.853216736233036","4.73007431266414","2"
"2004","2013-05-25 13:00:02","52.9444073","5.4975511","0","\N","24.5","\N","12.8","4.4","27.7","27.4","-1.43","-0.28","0.03","1.18","0101000020E6100000F55A1A097EFD154045CDA156E2784A40","0","1.45746355014457","1.18396106472336","-6.87446518044391","2"
"2004","2013-05-25 14:00:33","52.944513","5.4973221","31","\N","22.8","\N","44","2.2","6","13.4","-0.1","-0.03","-0.25","0.56","0101000020E6100000EA4F2C0142FD1540CCD24ECDE5784A40","0","0.270924343682881","0.0718378634873486","-163.600590014221","33"
"2004","2013-05-25 15:01:10","52.94452","5.4973509","-3","\N","19.4","\N","33.5","2","3.6","3.8","-0.06","-0.01","-0.03","0.3","0101000020E61000006F8BE88D49FD15407E350708E6784A40","0","0.0678232998312527","0.0306398606763252","-7.89007124233193","-1"
"2004","2013-05-25 16:01:16","52.9439325","5.4849344","0","\N","18.6","\N","8.1","2","5.8","6.3","-0.16","-0.01","-0.49","0.45","0101000020E610000050D2B2A492F01540D690B8C7D2784A40","0","0.51555795018601","0.167491719720208","178.173240375213","1"
"2004","2013-05-25 17:01:16","52.9445329","5.4974079","2","\N","17.5","\N","8.5","4.8","15.9","11","-0.84","-0.15","-0.28","0.93","0101000020E610000091161D7F58FD15407EBF3D74E6784A40","0","0.898053450525079","0.514648796778894","-7.68670399498394","4"
"2004","2013-05-25 18:02:03","52.9444568","5.4973511","14","\N","15.5","\N","39.8","1.7","5","4.8","-0.12","-0.06","-0.05","0.27","0101000020E6100000BD84549B49FD15400E3EDEF5E3784A40","0","0.143178210632764","0.0848273622283199","-34.648741859343","16"
"2004","2013-05-25 19:02:07","52.9444221","5.4974264","-3","\N","13.2","\N","12.4","2.3","10.6","18","-0.57","-0.04","-0.54","0.91","0101000020E610000006ABA0585DFD1540508FC8D2E2784A40","0","0.786193360440038","0.131292653666577","6.46829943059293","-1"
